Product URL,Title,Description,Product Type,Tags,Categories,Visible,Hosted Image URLs,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Weight,Length,Width,Height,Stock
"Nike-Dunk-High-DJ-AM","Nike Dunk High DJ AM","Nike Dunk High DJ AM<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042190872&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-dunk-high-dj-am"" target=""_blank"">StockX</a></h3>","Physical","Nike, Dunk, High, DJ, AM","men","TRUE","https://stockx.imgix.net/Nike-Dunk-High-DJ-AM.jpg",,,,,,,,"230.00",,,,,,,"1"
"adidas-Ultra-Boost-1-0-Burgundy","adidas Ultra Boost 1.0 Burgundy","adidas Ultra Boost 1.0 Burgundy<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042191888&type=15&murl=https%3A%2F%2Fstockx.com%2Fadidas-ultra-boost-burgundy"" target=""_blank"">StockX</a></h3>","Physical","adidas, Ultra, Boost, 1.0, Burgundy","men","TRUE","https://stockx.imgix.net/Adidas-Ultra-Boost-Burgundy-Maroon.jpg",,,,,,,,"1050.00",,,,,,,"1"
"Jordan-5-Retro-DMP-Raging-Bull-Red-Suede","Jordan 5 Retro DMP Raging Bull Red Suede","Jordan 5 Retro DMP Raging Bull Red Suede<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042192482&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-5-retro-dmp-raging-bull-red-suede"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 5, Retro, DMP, Raging, Bull, Red, Suede","men","TRUE","https://stockx.imgix.net/Air-Jordan-5-Retro-DMP-Raging-Bull-Red-Suede-Product.jpg",,,,,,,,"530.00",,,,,,,"1"
"LeBron-15-Ashes","LeBron 15 Ashes","The Nike LeBron 15 made its debut just in time for the start of the 2017-18 NBA season. Nicknamed the ""Ashes"" edition, they come in a clean black and white colorway. Designed by Jason Petrie, the sneaker features a black-based evolved Flyknit Battle upper with a full-bootie construction, Max Air and Zoom Air cushioning, a white sole and paint splatter detailing. Their release date was October 28th, 2017 where they were available at select Nike Basketball retailers worldwide. They came in at a $185 price point for men's sizes. If you're a fan of the LeBron line and love the continued evolution of Flyknit, you don't want to miss out on the Nike LeBron 15. If you're looking to buy a pair, hit up the marketplace today. Those that have pairs to sell can list them online for others to cash in on, now.<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042194150&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-lebron-15-ashes"" target=""_blank"">StockX</a></h3>","Physical","LeBron, 15, Ashes","men","TRUE","https://stockx.imgix.net/Nike-LeBron-15-Ashes.png",,,,,,,,"159.00",,,,,,,"1"
"Jordan-XXX1-Banned","Jordan XXX1 Banned","Jordan XXX1 Banned<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042194606&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-xxx1-banned"" target=""_blank"">StockX</a></h3>","Physical","Jordan, XXX1, Banned","men","TRUE","https://stockx.imgix.net/Air-Jordan-XXX1-Banned.png",,,,,,,,"150.00",,,,,,,"1"
"Jordan-1-Retro-Satin-Royal","Jordan 1 Retro Satin ""Royal""","Jordan 1 Retro Satin ""Royal""<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042195056&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-1-retro-black-blue-satin-2017"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 1, Retro, Satin, Royal","men","TRUE","https://stockx.imgix.net/Air-Jordan-1-Retro-Satin-Royal.png",,,,,,,,"1025.00",,,,,,,"1"
"Jordan-12-Retro-Nylon","Jordan 12 Retro Nylon","Jordan 12 Retro Nylon<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042195674&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-12-retro-nylon"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 12, Retro, Nylon","men","TRUE","https://stockx.imgix.net/Air-Jordan-12-Retro-Nylon.png",,,,,,,,"194.00",,,,,,,"1"
"Jordan-1-Retro-Bred-2013","Jordan 1 Retro Bred (2013)","Aside from 1985, you could argue that 2013 was the best year for Jordan 1 fans thanks to releases like the Air Jordan Retro 1 High OG ""Bred"" colorway. While there tends to be Air Jordan 1 colorways released every year, in 2013 Jordan Brand went back to the original formula for Jordan 1s. They introduced the ""OG"" versions of the Jordan 1, which featured ""Nike Air"" labeling on the tongue and on the insoles as well. Jordan collectors often place a higher value on these tiny details because when the original Nike Air Jordan released in 1985, the Jumpman logo hadn't even been created, which means the retro AJ1s with the Jumpman on the tongue, heel or insole, are just not quite the same. Surprisingly, the Bred Jordan 1 OG didn't release until the end of 2013, which meant two things. There were a lot of other Jordan Retro 1 High OG colorways that had already come out and the holiday release meant there would also be a Jordan 11 releasing near the same time. That didn't seem to make an ounce of difference with sneaker enthusiasts and Jordan fans. The 2013 Air Jordan Retro High OG Bred sold out in what seemed like seconds and even the restocks that followed were scooped up quickly, making this Black/Varsity Red colorway more than worth its weight in leather.<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042196740&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-1-retro-bred-2013"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 1, Retro, Bred, 2013","men","TRUE","https://stockx.imgix.net/Air-Jordan-1-Retro-Bred-2013.jpg",,,,,,,,"349.00",,,,,,,"1"
"LeBron-15-Graffiti","LeBron 15 Graffiti","LeBron 15 Graffiti<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042200320&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-lebron-15-graffiti"" target=""_blank"">StockX</a></h3>","Physical","LeBron, 15, Graffiti","men","TRUE","https://stockx.imgix.net/Nike-LeBron-15-Graffiti.png",,,,,,,,"127.00",,,,,,,"1"
"Jordan-9-Retro-Bentley-Ellis-Crawfish","Jordan 9 Retro Bentley Ellis (Crawfish)","Jordan 9 Retro Bentley Ellis (Crawfish)<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=<LSN EID>&offerid=<LSN OID>.12042200458&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-9-retro-bentley-ellis-crawfish"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 9, Retro, Bentley, Ellis, Crawfish","men","TRUE","https://stockx.imgix.net/Air-Jordan-9-Retro-Bentley-Ellis.jpg",,,,,,,,"279.00",,,,,,,"1"
